epoch;classification_accuracy;classification_categorical_accuracy;classification_loss;loss;regression_accuracy;regression_categorical_accuracy;regression_loss;val_classification_accuracy;val_classification_categorical_accuracy;val_classification_loss;val_loss;val_regression_accuracy;val_regression_categorical_accuracy;val_regression_loss
0;0.56104195;0.56104195;0.34508532;1.4784833070933818;0.14880098;0.14880098;1.133398;0.8125978708267212;0.8125978708267212;0.35743364691734314;1.3877619504928589;0.15701651573181152;0.15701651573181152;1.0303282737731934
1;0.82624936;0.82624936;0.14700592;0.6863425372540951;0.10851773;0.10851773;0.5393366;0.8765726089477539;0.8765726089477539;0.35085639357566833;1.2060333490371704;0.11680599302053452;0.11680599302053452;0.8551769256591797
2;0.86888736;0.86888736;0.1226129;0.5753073649704457;0.10689817;0.10689817;0.45269462;0.8502921462059021;0.8502921462059021;0.179422989487648;0.7810841202735901;0.1607722043991089;0.1607722043991089;0.6016611456871033
3;0.87982696;0.87982696;0.112121224;0.5168449920266867;0.10713246;0.10713246;0.40472382;0.8610979318618774;0.8610979318618774;0.02569970116019249;0.31917038559913635;0.12702694535255432;0.12702694535255432;0.29347068071365356
4;0.8914279;0.8914279;0.10373312;0.4732003472596407;0.10777036;0.10777036;0.36946738;0.9220951795578003;0.9220951795578003;0.05393202602863312;0.3540029525756836;0.0485396645963192;0.0485396645963192;0.30007094144821167
5;0.8948914;0.8948914;0.09891109;0.43847963319718836;0.10850842;0.10850842;0.33956823;0.8522352576255798;0.8522352576255798;0.019545121118426323;0.3028644025325775;0.09748005867004395;0.09748005867004395;0.28331929445266724
6;0.8990129;0.8990129;0.09574434;0.4147628344371915;0.10967674;0.10967674;0.31901842;0.9458664059638977;0.9458664059638977;0.25468480587005615;0.9474077820777893;0.172395721077919;0.172395721077919;0.6927229762077332
7;0.9035528;0.9035528;0.09194069;0.3913449144810438;0.108955525;0.108955525;0.29940408;0.9340378642082214;0.9340378642082214;0.3873751759529114;1.0650718212127686;0.20717307925224304;0.20717307925224304;0.6776966452598572
8;0.9044447;0.9044447;0.089652635;0.3697582839876413;0.108182475;0.108182475;0.28010556;0.8768894672393799;0.8768894672393799;0.01902160421013832;0.2968478500843048;0.11843220889568329;0.11843220889568329;0.2778262495994568
9;0.9086114;0.9086114;0.08763544;0.35328354517370464;0.107801944;0.107801944;0.26564795;0.9344642162322998;0.9344642162322998;0.042048413306474686;0.1370495706796646;0.04928753897547722;0.04928753897547722;0.09500116109848022
10;0.9076114;0.9076114;0.08478668;0.33423712039738895;0.108029895;0.108029895;0.24945027;0.9540510773658752;0.9540510773658752;0.22539977729320526;0.8032160401344299;0.09788312017917633;0.09788312017917633;0.5778162479400635
11;0.9087582;0.9087582;0.08203787;0.31881696461886166;0.108078934;0.108078934;0.23677915;0.8964880108833313;0.8964880108833313;0.13067574799060822;0.5163049697875977;0.17105840146541595;0.17105840146541595;0.38562920689582825
12;0.9080494;0.9080494;0.08033719;0.3032719805166125;0.10798512;0.10798512;0.22293484;0.9491561651229858;0.9491561651229858;0.4081555902957916;1.1533591747283936;0.13525590300559998;0.13525590300559998;0.7452035546302795
13;0.90999746;0.90999746;0.07926917;0.293662006277591;0.107297264;0.107297264;0.21439296;0.9594982266426086;0.9594982266426086;0.19662530720233917;0.8323996067047119;0.1607302576303482;0.1607302576303482;0.6357743144035339
14;0.9083597;0.9083597;0.07659494;0.27963208170235154;0.10674512;0.10674512;0.20303719;0.9356221556663513;0.9356221556663513;0.25216132402420044;0.722131609916687;0.11683394759893417;0.11683394759893417;0.4699702560901642
15;0.90680027;0.90680027;0.07618585;0.26702537597343323;0.107466795;0.107466795;0.19083957;0.8943771719932556;0.8943771719932556;0.10672270506620407;0.46829721331596375;0.16588850319385529;0.16588850319385529;0.3615745007991791
16;0.90743285;0.90743285;0.07303867;0.2573196582533419;0.107824445;0.107824445;0.18428092;0.8841725587844849;0.8841725587844849;0.00603269599378109;0.13764604926109314;0.1269407421350479;0.1269407421350479;0.1316133588552475
17;0.90479535;0.90479535;0.07064074;0.24628085663169622;0.10740882;0.10740882;0.17564031;0.9423437118530273;0.9423437118530273;0.030878551304340363;0.15802639722824097;0.044518377631902695;0.044518377631902695;0.1271478533744812
18;0.90322864;0.90322864;0.0696022;0.23775540880858897;0.10729167;0.10729167;0.1681533;0.8787067532539368;0.8787067532539368;0.0068903774954378605;0.16433106362819672;0.09546009451150894;0.09546009451150894;0.1574406921863556
19;0.89914256;0.89914256;0.064831726;0.2280424986574799;0.10745286;0.10745286;0.16321072;0.9539742469787598;0.9539742469787598;0.1907401829957962;0.6286022663116455;0.1730317622423172;0.1730317622423172;0.4378620982170105
20;0.89925253;0.89925253;0.06319457;0.2182720771841705;0.10744925;0.10744925;0.15507756;0.9510875940322876;0.9510875940322876;0.22825053334236145;0.6708035469055176;0.2071521133184433;0.2071521133184433;0.44255301356315613
21;0.8934234;0.8934234;0.05718111;0.20418425770103932;0.107839465;0.107839465;0.14700308;0.834787130355835;0.834787130355835;0.004380572587251663;0.10263101756572723;0.11840425431728363;0.11840425431728363;0.09825044870376587
22;0.89355266;0.89355266;0.056154855;0.19516583401709794;0.10801199;0.10801199;0.13901094;0.8699862360954285;0.8699862360954285;0.00949582178145647;0.042528558522462845;0.0491454191505909;0.0491454191505909;0.03303273767232895
23;0.88488966;0.88488966;0.051894195;0.18739733285456897;0.10744503;0.10744503;0.13550302;0.94105064868927;0.94105064868927;0.1414807140827179;0.4379270672798157;0.09680906683206558;0.09680906683206558;0.2964463531970978
24;0.8812381;0.8812381;0.04879617;0.1781536548100412;0.10826535;0.10826535;0.12935746;0.8681969046592712;0.8681969046592712;0.06681589037179947;0.27668285369873047;0.17377032339572906;0.17377032339572906;0.2098669558763504
25;0.8759752;0.8759752;0.043555424;0.1688844708967954;0.10762407;0.10762407;0.12532906;0.9437159895896912;0.9437159895896912;0.26379790902137756;0.7085678577423096;0.13830332458019257;0.13830332458019257;0.4447699189186096
26;0.86648756;0.86648756;0.039200824;0.16122906630299985;0.107669614;0.107669614;0.12202833;0.9609357714653015;0.9609357714653015;0.08301513642072678;0.5040590763092041;0.1580183357000351;0.1580183357000351;0.42104393243789673
27;0.85541654;0.85541654;0.034190223;0.14883226706739516;0.10731256;0.10731256;0.114642054;0.8810762166976929;0.8810762166976929;0.15624524652957916;0.43797338008880615;0.11797789484262466;0.11797789484262466;0.2817281186580658
28;0.8422712;0.8422712;0.033854805;0.14517429425660522;0.10777559;0.10777559;0.11131952;0.8688422441482544;0.8688422441482544;0.03935534507036209;0.23573705554008484;0.16319289803504944;0.16319289803504944;0.19638170301914215
29;0.8367524;0.8367524;0.027790247;0.13305904593039303;0.10778504;0.10778504;0.10526874;0.8168987035751343;0.8168987035751343;0.0017356445314362645;0.07476004213094711;0.12594358623027802;0.12594358623027802;0.07302439957857132
30;0.82522357;0.82522357;0.023027278;0.12536691079940646;0.10726919;0.10726919;0.10233954;0.8296195864677429;0.8296195864677429;0.0018063306342810392;0.07450016587972641;0.04497269541025162;0.04497269541025162;0.072693832218647
